Wallet Address,PnL Percentage,
0xdfaf4d187acd0fbcc6c09a0b904fa46464c8a0b0,4.53,
0x6c14877bac8c665e646c160525a25fa4b150b9b4,14.65,
0xc048f19848e7319f7ca034fa83bfbcca59deaf94,34.44,
0x84f33e797364bdfc4511bf5ab35b0372aa96ba69,67.5,
0x2e67a94b39c1946d100d85ba724c116a652515b9,11.87,
0x279b590021b27ab4abe2c890b63efff24efda894,5.43,
0x51dc4ce991f5e7886ea6a0b403e6a24d4e0bb1c4,8.17,
0x95480d3f27658e73b2785d30beb0c847d78294c7,4.63,
0xbf3b5bb2df2ac6e45f7cef60df254572045a8a18,1344.88,
0x796278fdd1b46f9f204ead508629df0017f1a981,1.12,
0x66db89971a400f9ac485ac762a4291054fd311e1,69.96,
0xcc5cb827928ea0958116a9c2abab34d4bc5efde5,3.77,
0xfc5aef9e755f9c9a476f328550f6a338e20a61d0,18.72,
0x3fad24d76807ef5c818863891f9e947bad91bf5f,1.46,
0x6c8ad0f1874d91b73bbbfaa4f5d029a51893edac,20.88,
0xfba428bedf2af99652022d8cf1f3a438544158cb,1.31,
0xbb4ab1aa17e19fa2c757127e8a03935d80e8beb0,30.2,
0x6fb1ba6566645faa06884ec2125a11d8973e6eec,23.88,
0x375d80e6abb6d500635cdae3fb7569ea6159c82f,11.31,
0x0b5f9c23b0dbe37e595b48fad872c4d7bbfef88f,2.43,
0xc2779ac238747ebb15259f7d7ef5b37ef40306e4,143.94,
0x9e2535a3ca09b57e6e47ab9a7eb07b743fe09d02,45.76,
0xc10235705a4f68a59b5c4974aa32a92af0e06b26,24.55,
0xb18ccf69940177f3ec62920ddb2a08ef7cb16e8f,,LINK
0xcc9f0501f408d5b0e4bf73c3422de880f4ce279e,,LINK
